,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,title,artist
74,0.483,0.98,0.8181818181818182,0.7998120889445662,1,0.07,7.44e-05,0.0,0.0393,0.87,0.2620957247971232,174t68Pnn9wb1UgM7fCRmY,0.0,0.5,Skate Or Die,Teenage Bottlerocket
75,0.272,0.876,0.36363636363636365,0.5557156279361104,0,0.0397,4.18e-05,0.0191,0.146,0.585,0.2636887721705665,2sXtpY9mCTXnUTUSQqrXbX,0.627893554789512,0.5,Green Grass & High Tides,The Outlaws
76,0.596,0.841,1.0,0.48975884747886,1,0.044,0.00908,0.0,0.259,0.634,0.5574325123618901,7vQ8cJE5h67lxbvbYtJeWk,0.1556382534210801,0.5,A Jagged Gorgeous Winter,The Main Drag
77,0.608,0.975,0.8181818181818182,1.0,1,0.109,0.232,0.0,0.181,0.549,0.2737123524262428,5L8mEPbtOVsaiB3aHV2mch,0.06490389637522195,0.5,My Real Girlfriend,Pup Punk
78,0.49,0.929,0.8181818181818182,0.8750391481365487,0,0.0447,0.0304,0.0,0.189,0.689,0.5354847359247955,23NTlcMUsISTRxeWfgTeLd,0.11099185208398618,0.5,Rhythm Doesn’t Make You A Dancer,Jon Fratelli
79,0.525,0.863,0.8181818181818182,0.6281240212965864,1,0.0369,0.000802,0.854,0.328,0.616,0.6684647597416425,2wrVCncqREVcvSndCA7pgV,0.30200172359761823,0.5,"Goodbye Summer, Hello Winter",FantomenK
80,0.509,0.853,0.18181818181818182,0.5480112746633261,0,0.0468,0.0289,0.456,0.334,0.611,0.6000425864149336,4U1MPcc9iEukZfnQN2acAH,0.13354878303562098,0.5,Love Machine,The Tazers
81,0.529,0.37,0.0,0.50090823676793,1,0.0346,0.0201,0.0,0.116,0.354,0.5015181268286529,6jKYaIfaQds4f9jDwLPIfK,0.10139585291966988,0.5,Mr Brightside (Remix),DJ Chrisyelroy
82,0.354,0.871,0.6363636363636364,0.5523332289383026,1,0.0761,0.483,0.905,0.889,0.631,0.26334965812572464,2adbXTF9XpDUm8Fn8aARgR,0.29919173717747827,0.5,Cliffs Of Dover,Eric Johnson
83,0.546,0.299,0.4545454545454546,0.06313811462574392,1,0.0386,0.668,0.109,0.111,0.789,0.36420848416021967,1b5Cgfs0La5peeZ7Sw7y6y,0.16289694975451788,0.5,What I Am - Recorded at Spotify Studios NYC,Iron & Wine
84,0.574,0.489,0.36363636363636365,0.5665518321327906,1,0.0298,0.578,0.0,0.121,0.572,0.6834330959535021,0ELVXVHz8aPgwLySfkDn8e,0.20470594380027154,0.5,Hey Ya,Obadiah Parker
85,0.558,0.84,0.18181818181818182,0.6865017225180082,1,0.0821,0.00455,0.00105,0.334,0.898,0.7953643898707424,4rwLgdz6XSjYSuwwAO836E,0.15822234409276084,0.5,Bad Bad Freddy,Young Monks
86,0.806,0.793,0.7272727272727273,0.5540244284372065,1,0.0783,0.0395,0.000281,0.0507,0.826,0.36807280699679024,0m6vWUiWHjXuPsG1ERtnkE,0.268876005431944,0.5,Goon Squad,Ripe
87,0.472,0.615,0.0,0.7140620106482931,0,0.0553,0.0126,0.826,0.139,0.554,0.4787343948391575,5Hx06nPpKL3wAUcnJIgcLO,0.3193317141961767,0.5,Contortionist,Their Dogs Were Astronauts
88,0.292,0.431,0.0,0.32496085186345136,1,0.0384,0.281,0.509,0.575,0.0865,0.2635231583347135,7zyqEO94zkVPhhLnqy18pt,0.29508252376475497,0.5,These Hands,Bent Knee
89,0.635,0.914,0.0,0.6499217037269027,1,0.111,0.0597,0.0,0.601,0.922,0.6840009148192839,5c5a2Ptu8eyIpljhQHjIqk,0.08443800271597199,0.5,Ain't No Rest For The Wicked - Original Version,Cage The Elephant
90,0.773,0.797,0.09090909090909091,0.5526464140306921,0,0.276,0.229,0.0,0.138,0.836,0.12408419491959854,2qwGNZ1cLhF5i1r73jXjiO,0.19590514990076255,0.5,Haunt Me,Samsa
91,0.512,0.915,0.6363636363636364,0.6985280300657689,1,0.134,0.126,6.75e-05,0.375,0.383,0.6368719489593931,7Dgt0TvvmEnKMRBoU8GF3C,0.15961558550088786,0.5,Terrible Things,Brick + Mortar
92,0.806,0.31,0.7272727272727273,0.28167867209520836,1,0.11,0.561,0.0,0.12,0.52,0.40143216536147197,4rFCtVSxMGoWHl0qhXlmBy,0.19745899926877672,0.5,Dear McCracken,Bug Hunter
93,0.67,0.511,0.7272727272727273,0.23946132164109002,1,0.0574,0.00246,0.000324,0.54,0.706,0.16339776500185343,6XEInZxmXYXTtbu57F8mZi,0.16932126815000517,0.5,We're Shameless,Ken Ashcorp
94,0.52,0.621,0.36363636363636365,0.6778578139680552,1,0.0336,0.0758,0.0,0.287,0.445,0.04525200905355642,2SxFDozTxwW8yDStrzPUKI,0.2315888436226888,0.5,I Hate You,Frank Carter & The Rattlesnakes
95,0.323,0.957,0.5454545454545454,0.8201691199498904,0,0.0617,0.000235,3.95e-05,0.317,0.391,0.4794993730333358,6McUVJ6G0j6oWbRVPb5CWP,0.23757703959051493,0.0,Ohio Is for Emo Kids,Canadian Softball
96,0.671,0.688,0.9090909090909092,0.6863138114625744,0,0.0382,0.0187,1.06e-05,0.149,0.154,0.4632140125077878,47S7hRI0vwAOcruZKrxWHD,0.11528387130471116,0.5,Starlight (Could You Be Mine) - Radio Edit,Don Diablo
97,0.805,0.858,0.0,0.8105230191042907,1,0.105,0.194,7.89e-06,0.256,0.523,0.21885474089321066,6HTJZ0TQJVMSKkUGzAOe2h,0.2752820432466311,0.5,Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma
98,0.489,0.641,1.0,0.5634826182273724,0,0.032,0.00598,0.0201,0.122,0.587,0.3124502172695799,6oJflQkp7lFXOQce4wPTAW,0.13195706675023502,0.5,Samsara (feat. Emila),Tungevaag
99,0.521,0.728,0.7272727272727273,0.6891324772940808,0,0.0501,0.0352,1.53e-05,0.783,0.32,0.4636241039108525,7DcY0SUvSIcIjHeSGhTXDk,0.09768750652877883,0.5,Memories - Radio Edit,KSHMR
